hh1,hh2,willingness_link1,willingness_link2,asymmetric_bilateral1,asymmetric_bilateral2,asymmetric_unilateral1,asymmetric_unilateral2,kinship1,kinship2,excess_wealth1,excess_wealth2,same_edu1,same_edu2,members1,members2,o_members1,o_members2,neighbors1,neighbors2,popularity1,popularity2,const1,const2
26,28,0,0,0,0,1,1,0,0,.505168437957764,-.505168437957764,1,1,3,2,2,3,1,1,.800000011920929,.800000011920929,1,2
9,28,0,0,0,0,1,1,0,0,.17209005355835,-.17209005355835,1,1,2,2,2,2,1,1,.800000011920929,.200000002980232,1,2
104,28,0,0,0,0,1,1,0,0,-9.86908626556396,9.86908626556396,1,1,4,2,2,4,0,0,.800000011920929,.300000011920929,1,2
29,28,1,1,1,1,0,0,0,0,-12.2926149368286,12.2926149368286,1,1,4,2,2,4,1,1,.699999988079071,1.5,1,2
64,28,1,0,1,1,0,0,0,0,-7.77444076538086,7.77444076538086,1,1,3,2,2,3,0,0,.699999988079071,.699999988079071,1,2
44,28,0,0,0,0,1,1,0,0,-1.0031898021698,1.0031898021698,0,0,1,2,2,1,1,1,.800000011920929,0,1,2
116,28,0,0,0,0,1,1,0,0,-1.36643886566162,1.36643886566162,0,0,1,2,2,1,0,0,.800000011920929,0,1,2
41,28,0,0,0,0,1,1,0,0,-8.75612545013428,8.75612545013428,1,1,4,2,2,4,1,1,.800000011920929,.600000023841858,1,2
111,28,0,0,0,0,1,1,0,0,-.511263608932495,.511263608932495,1,1,3,2,2,3,1,1,.800000011920929,.600000023841858,1,2
66,28,0,0,0,0,1,1,0,0,-.178998470306396,.178998470306396,1,1,2,2,2,2,0,0,.800000011920929,.300000011920929,1,2
50,28,0,0,0,0,1,1,0,0,1.54271948337555,-1.54271948337555,1,1,2,2,2,2,1,1,.800000011920929,.400000005960464,1,2
99,28,0,0,0,0,1,1,0,0,-.0396628379821777,.0396628379821777,0,0,2,2,2,2,1,1,.800000011920929,.400000005960464,1,2
53,28,0,0,0,0,1,1,0,0,.517637252807617,-.517637252807617,1,1,3,2,2,3,1,1,.800000011920929,.400000005960464,1,2
39,28,0,0,0,0,1,1,0,0,-2.81573295593262,2.81573295593262,1,1,3,2,2,3,1,1,.800000011920929,.800000011920929,1,2
51,28,0,0,0,0,1,1,0,0,-2.53173351287842,2.53173351287842,1,1,4,2,2,4,0,0,.800000011920929,.600000023841858,1,2
11,28,0,0,0,0,1,1,0,0,-15.6253786087036,15.6253786087036,1,1,6,2,2,6,1,1,.800000011920929,.600000023841858,1,2
82,28,0,0,0,0,1,1,0,0,2.09412240982056,-2.09412240982056,0,0,1,2,2,1,0,0,.800000011920929,.200000002980232,1,2
109,28,0,0,0,0,1,1,0,0,1.80979573726654,-1.80979573726654,1,1,2,2,2,2,0,0,.800000011920929,.699999988079071,1,2
5,28,0,0,0,0,1,1,0,0,.84358024597168,-.84358024597168,1,1,2,2,2,2,0,0,.800000011920929,.300000011920929,1,2
